source,name,city,website,domain,founded_year,size_band,band_label,headcount,headcount_unknown,whale_candidate,staffing_mix,stage,reject_reason,evidence
goodfirms,AnAr Solutions Pvt Ltd,"Pune, India",http://www.anarsolutions.com/,anarsolutions.com,2013,10-49,,,,,,A,already_in_crm,domain anarsolutions.com on a live deal
goodfirms+nasscom,BugendaiTech,"Pune, India",https://bugendaitech.com/,bugendaitech.com,2018,50-249,,,,,,A,already_in_crm,domain bugendaitech.com on a live deal
goodfirms,Bpointer Technologies,"Pune, India",https://bpointer.com,bpointer.com,2013,50-249,,,,,,A,already_in_crm,domain bpointer.com on a live deal
goodfirms,Netfotech Solutions,"Pune, India",https://www.netfotech.in,netfotech.in,2017,50-249,,,,,,A,already_in_crm,domain netfotech.in on a live deal
goodfirms,Montek Services,"Pune, India",https://montekservices.com/,montekservices.com,2011,50-249,,,,,,A,already_in_crm,domain montekservices.com on a live deal
goodfirms,Mobicloud Technologies Pvt Ltd,"Pune, India",https://mobicloudtechnologies.com,mobicloudtechnologies.com,2015,10-49,,,,,,A,already_in_crm,domain mobicloudtechnologies.com on a live deal
goodfirms,Poscig Technologies,"Pune, India",https://www.poscig.com,poscig.com,2020,10-49,,,,,,A,already_in_crm,domain poscig.com on a live deal
goodfirms,Eternal HighTech,"Pune, India",https://eternalhightech.com/,eternalhightech.com,2019,10-49,,,,,,A,already_in_crm,domain eternalhightech.com on a live deal
goodfirms,Mitroz Technologies,"Pune, India",https://mitroztech.com,mitroztech.com,2013,10-49,,,,,,A,already_in_crm,domain mitroztech.com on a live deal
goodfirms,Edhaas digisoft,"Pune, India",https://edhaasvisuals.com/,edhaasvisuals.com,2018,50-249,,,,,,A,already_in_crm,domain edhaasvisuals.com on a live deal
goodfirms+nasscom,Sidhyati Technology Solutions Private Limited,"Pune, India",https://sidhyatitech.com/,sidhyatitech.com,2017,10-49,,,,,,A,already_in_crm,domain sidhyatitech.com on a live deal
goodfirms,Aaryavarta Technologies,"Pune, India",http://www.aaryavarta.com,aaryavarta.com,2015,10-49,,,,,,A,already_in_crm,domain aaryavarta.com on a live deal
goodfirms,Incentius,"Pune, India",https://incentius.com/,incentius.com,2013,10-49,,,,,,A,already_in_crm,domain incentius.com on a live deal
goodfirms,Rede Consulting Services,"Pune, India",https://www.redeoverseas.com/,redeoverseas.com,2021,50-249,,,,,,A,already_in_crm,domain redeoverseas.com on a live deal
goodfirms,QED42,"Pune, India",https://www.qed42.com/,qed42.com,2009,50-249,,,,,,A,already_in_crm,domain qed42.com on a live deal
goodfirms,Zelite,"Pune, India",https://www.zelitesolutions.com/,zelitesolutions.com,2011,250+,,,,,,A,already_in_crm,domain zelitesolutions.com on a live deal
goodfirms,Invimatic Technologies Pvt. Ltd.,"Pune, India",https://www.invimatic.com/,invimatic.com,2016,50-249,,,,,,A,already_in_crm,domain invimatic.com on a live deal
goodfirms,Easenext,"Pune, India",https://www.easenext.com,easenext.com,2020,10-49,,,,,,A,already_in_crm,domain easenext.com on a live deal
