source,name,city,website,domain,founded_year,size_band,band_label,headcount,headcount_unknown,whale_candidate,staffing_mix
goodfirms,Divum Corporate Services Pvt Ltd,"Bengaluru, India",https://divum.in/,divum.in,2008,50-249,50-249,,False,False,False
goodfirms,Spartan Labs Software Pvt Ltd,"Bengaluru, India",https://spartanlabs.in/,spartanlabs.in,2016,10-49,10-49,,False,False,False
goodfirms,Smacware,"Bengaluru, India",https://www.smacware.com/,smacware.com,2018,10-49,10-49,,False,False,False
goodfirms,iBux Business Solutions,"Bengaluru, India",https://www.ibux.in,ibux.in,,10-49,10-49,,False,False,False
goodfirms,Think201,"Bengaluru, India",https://think201.com/,think201.com,2012,10-49,10-49,,False,False,False
goodfirms,Mobiux,"Bengaluru, India",https://www.mobiux.in/,mobiux.in,2019,10-49,10-49,,False,False,False
goodfirms,Wizmobi Technologies Pvt Ltd,"Bengaluru, India",https://wizmobi.com,wizmobi.com,,10-49,10-49,,False,False,False
goodfirms,Binary Semantics,"Bengaluru, India",https://www.binarysemantics.com/,binarysemantics.com,1986,250+,250+,,False,True,False
goodfirms,Tedlite 4+ Gen Software Company,"Bengaluru, India",https://tedlite.com/,tedlite.com,2020,10-49,10-49,,False,False,False
goodfirms,Criador Design Labs Pvt Ltd,"Bengaluru, India",https://www.criadorlabs.com/,criadorlabs.com,2017,10-49,10-49,,False,False,False
goodfirms,Logmate Logistics,"Bengaluru, India",http://www.logmate.co.in,logmate.co.in,2011,10-49,10-49,,False,False,False
goodfirms,Ruckus Tech,"Bengaluru, India",https://ruckustech.co/,ruckustech.co,2020,10-49,10-49,,False,False,False
goodfirms,TechFNatic,"Bengaluru, India",https://www.techfnatic.com/,techfnatic.com,2016,10-49,10-49,,False,False,False
goodfirms,ReapMind Innovations Pvt Ltd,"Bengaluru, India",https://reapmind.com,reapmind.com,2018,50-249,50-249,,False,False,False
goodfirms,Speedweb services,"Bengaluru, India",https://www.speedwebservice.in/,speedwebservice.in,2020,10-49,10-49,,False,False,False
goodfirms,Lookupit Solutions,"Bengaluru, India",https://www.lookupitsolutions.com/,lookupitsolutions.com,2014,10-49,10-49,,False,False,False
goodfirms,Tudo Technologies Pvt Ltd,"Bengaluru, India",https://tudotechnologies.com/,tudotechnologies.com,2015,10-49,10-49,,False,False,False
goodfirms,Rubixe,"Bengaluru, India",https://www.rubixe.com,rubixe.com,2017,50-249,50-249,,False,False,False
goodfirms,ZEPTCODE TECHNOLOGIES LIMTED,"Bengaluru, India",https://zeptcode.com,zeptcode.com,2017,10-49,10-49,,False,False,False
goodfirms,Sash Info,"Bengaluru, India",https://www.sashinfo.com/,sashinfo.com,,10-49,10-49,,False,False,False
goodfirms,Techkit,"Bengaluru, India",https://site.techkit.in/,techkit.in,,10-49,10-49,,False,False,False
goodfirms,SMARTBORN,"Bengaluru, India",https://smartborn.io/,smartborn.io,2021,50-249,50-249,,False,False,False
goodfirms,Bluetick Consultants LLP,"Bengaluru, India",https://www.bluetickconsultants.com/,bluetickconsultants.com,2017,10-49,10-49,,False,False,False
goodfirms,Evoqins,"Bengaluru, India",https://evoqins.com/,evoqins.com,2017,50-249,50-249,,False,False,False
goodfirms,Techpearl,"Bengaluru, India",https://techpearl.com/,techpearl.com,2013,10-49,10-49,,False,False,False
goodfirms,Steema,"Bengaluru, India",https://www.steemasoftware.com/,steemasoftware.com,2017,10-49,10-49,,False,False,False
goodfirms,DIATOZ SOLUTIONS PRIVATE LIMITED,"Bengaluru, India",https://www.diatoz.com,diatoz.com,2018,50-249,50-249,,False,False,False
goodfirms,Codolin Technologies Pvt. Ltd,"Bengaluru, India",https://codolin.com/,codolin.com,2013,10-49,10-49,,False,False,False
goodfirms,Indo-Sakura Software Pvt Ltd.,"Bengaluru, India",https://indosakura.com/,indosakura.com,2006,50-249,50-249,,False,False,False
goodfirms,Nexzon Tech,"Bengaluru, India",https://www.nexzon.tech,nexzon.tech,,10-49,10-49,,False,False,False
goodfirms,Wincent Technologies India Pvt. Ltd.,"Bengaluru, India",https://wtipl.com,wtipl.com,2008,10-49,10-49,,False,False,False
goodfirms,SIDSOFT Technologies Pvt Ltd,"Bengaluru, India",http://sidsoft.in,sidsoft.in,2007,10-49,10-49,,False,False,False
goodfirms,ElasticDevs,"Bengaluru, India",https://www.elasticdevs.io,elasticdevs.io,2023,10-49,10-49,,False,False,False
goodfirms,VinnovateLabz,"Bengaluru, India",https://vinnovatelabz.com/,vinnovatelabz.com,2014,10-49,10-49,,False,False,False
goodfirms,Sitefy,"Bengaluru, India",https://sitefy.co,sitefy.co,2021,10-49,10-49,,False,False,False
goodfirms,Cipher Trivia,"Bengaluru, India",http://ciphertrivia.com/,ciphertrivia.com,2013,10-49,10-49,,False,False,False
goodfirms,HunterTech Ventures,"Bengaluru, India",http://huntertechglobal.com/,huntertechglobal.com,2015,10-49,10-49,,False,False,False
goodfirms,FuGenX Technologies Pvt Ltd,"Bengaluru, India",https://www.fugenx.com/,fugenx.com,2008,250+,250+,,False,True,False
goodfirms,Techasoft Pvt. Ltd.,"Bengaluru, India",https://www.techasoft.com/,techasoft.com,2016,10-49,10-49,,False,False,False
goodfirms,GyanMatrix Technologies Pvt Ltd,"Bengaluru, India",https://gyanmatrix.com/,gyanmatrix.com,,50-249,50-249,,False,False,False
goodfirms,Zeksta Technology,"Bengaluru, India",https://www.zeksta.com,zeksta.com,,10-49,10-49,,False,False,False
goodfirms,Bizita Technologies,"Bengaluru, India",https://bizitatech.com/,bizitatech.com,2019,10-49,10-49,,False,False,False
goodfirms,Cloud Odyssey,"Bengaluru, India",https://cloudodyssey.co/,cloudodyssey.co,2014,50-249,50-249,,False,False,False
goodfirms,Cloud Software Solution,"Bengaluru, India",https://cloudsoftwaresolution.in,cloudsoftwaresolution.in,2016,10-49,10-49,,False,False,False
goodfirms,Brilln,"Bengaluru, India",https://www.brilln.com,brilln.com,2022,10-49,10-49,,False,False,False
goodfirms,Axcess.io,"Bengaluru, India",https://axcess.io,axcess.io,,50-249,50-249,,False,False,False
goodfirms,Svinzy,"Bengaluru, India",https://www.svinzy.com/,svinzy.com,2017,50-249,50-249,,False,False,False
goodfirms,Mindcom Group,"Bengaluru, India",https://mindcomgroup.com/,mindcomgroup.com,2007,10-49,10-49,,False,False,False
goodfirms,Cyber Curate Tech,"Bengaluru, India",https://cybercurate.com/,cybercurate.com,2023,10-49,10-49,,False,False,False
goodfirms,Cloudloom Technologies Pvt Ltd,"Bengaluru, India",https://cloudloom.io,cloudloom.io,2022,10-49,10-49,,False,False,False
goodfirms,Zysk Technologies Private Limited,"Bengaluru, India",https://zysk.tech/,zysk.tech,2015,50-249,50-249,,False,False,False
goodfirms,Altumind AI,"Bengaluru, India",https://altumind.ai/,altumind.ai,2016,50-249,50-249,,False,False,False
goodfirms,NR Innovium Technologies Private Limited,"Bengaluru, India",https://nrinnovium.com/,nrinnovium.com,2020,10-49,10-49,,False,False,False
goodfirms,Hudbil Private Limited,"Bengaluru, India",https://hudbil.com/,hudbil.com,2016,10-49,10-49,,False,False,False
goodfirms,InspironLabs,"Bengaluru, India",https://www.inspironlabs.com/,inspironlabs.com,2018,10-49,10-49,,False,False,False
goodfirms,Atlantix Digital.com,"Bengaluru, India",https://atlantixdigital.com/,atlantixdigital.com,2017,10-49,10-49,,False,False,False
goodfirms,Cryptical Software,"Bengaluru, India",https://crypticalsoftware.in/,crypticalsoftware.in,2014,10-49,10-49,,False,False,False
goodfirms,Popular Digital AI,"Bengaluru, India",https://www.populardigital.ai/,populardigital.ai,2023,50-249,50-249,,False,False,False
goodfirms,Pathnovo Solutions Private limited,"Bengaluru, India",https://www.pathnovo.com/,pathnovo.com,2022,10-49,10-49,,False,False,False
goodfirms,Iglu Labs,"Bengaluru, India",http://www.iglulabs.com,iglulabs.com,2011,10-49,10-49,,False,False,False
goodfirms,Immortal Dreamz,"Bengaluru, India",http://immortaldreamz.com/,immortaldreamz.com,2016,10-49,10-49,,False,False,False
goodfirms,Dekko Digital,"Bengaluru, India",http://www.dekkodigital.com/,dekkodigital.com,2015,10-49,10-49,,False,False,False
goodfirms,Unique Creations Software India Pvt Ltd,"Bengaluru, India",https://www.unique-creations.biz/,unique-creations.biz,2017,50-249,50-249,,False,False,False
goodfirms,Pattem Digital Technologies Private Limited,"Bengaluru, India",https://pattemdigital.com/,pattemdigital.com,2017,10-49,10-49,,False,False,False
goodfirms,Claritiz Innovations Private LImited,"Bengaluru, India",http://www.claritiz.com/,claritiz.com,2015,10-49,10-49,,False,False,False
goodfirms,Corner Stone Solutions,"Bengaluru, India",https://cornerstonesolutiononline.com,cornerstonesolutiononline.com,,50-249,50-249,,False,False,False
goodfirms,TRIOEDGE SOFTWARE SOLUTIONS PRIVATE LIMITED,"Bengaluru, India",https://trioedge.com/,trioedge.com,2017,250+,250+,,False,True,False
goodfirms,Minebrat Private Limited,"Bengaluru, India",https://www.minebrat.com/,minebrat.com,2017,10-49,10-49,,False,False,False
goodfirms,MartPro,"Bengaluru, India",https://www.martpro.net/,martpro.net,,50-249,50-249,,False,False,False
goodfirms,Talentskape,"Bengaluru, India",https://talentskape.com/,talentskape.com,2016,10-49,10-49,,False,False,False
