source,name,city,website,domain,founded_year,size_band,band_label,headcount,headcount_unknown,whale_candidate,staffing_mix
ASSOC:GTECH,Neovibe Innovative Technologies (P) Ltd,,https://neovibe.in,neovibe.in,,,,,True,False,False
ASSOC:HYSEA,Next Skills 360 EdTech Private Limited,,https://nextskills360.in,nextskills360.in,,,,,True,False,False
ASSOC:HYSEA,ORGANO ECO HABITATS PRIVATE LIMITED,,https://organo.co.in,organo.co.in,,,,,True,False,False
ASSOC:HYSEA,PEAKIN LEARNING TECHNOLOGIES PVT LTD,,https://peakin.in,peakin.in,,,,,True,False,False
ASSOC:HYSEA,ProLedger Consulting LLP,,https://proledger.in,proledger.in,,,,,True,False,False
ASSOC:HYSEA,S Infinity Solutions,,https://sinfinity.co.in,sinfinity.co.in,,,,,True,False,False
ASSOC:HYSEA,SARIGA INITIATIVES,,https://sariga.in,sariga.in,,,,,True,False,False
ASSOC:HYSEA,SATRA Services and Solutions Private Limited,,https://satragroup.in,satragroup.in,,,,,True,False,False
ASSOC:HYSEA,STEADFAST BUSINESS CONSULTING LLP,,https://steadfastconsultants.in,steadfastconsultants.in,,,,,True,False,False
ASSOC:HYSEA,SimplyBiz Private Limited,,https://simplybiz.in,simplybiz.in,,,,,True,False,False
ASSOC:GTECH,Syntrio Technologies,,https://syntrio.in,syntrio.in,,,,,True,False,False
ASSOC:ITAAP,TRIBHUJA TECHNOLOGIES PRIVATE LIMITED IMAGE NOT AVAILABLE,,https://tribhuja.in,tribhuja.in,,,,,True,False,False
ASSOC:GTECH,Velosit Info Lab Pvt Ltd,,https://velosit.in,velosit.in,,,,,True,False,False
ASSOC:HYSEA,Verity Knowledge Solutions,,https://verity.co.in,verity.co.in,,,,,True,False,False
ASSOC:HYSEA,Visual IT Solutions Private Limited,,https://visualit.in,visualit.in,,,,,True,False,False
ASSOC:HYSEA,XRG Consulting Pvt Ltd,,https://xrg.in,xrg.in,,,,,True,False,False
ASSOC:HYSEA,Zaggle Prepaid Ocean Services Pvt. Ltd.,,https://zaggle.in,zaggle.in,,,,,True,False,False
ASSOC:GESIA,accuratepms,,https://accuratepms.in,accuratepms.in,,,,,True,False,False
ASSOC:GESIA,charusat,,https://charusat.ac.in,charusat.ac.in,,,,,True,False,False
ASSOC:ITAAP,drcomputer,,https://drcomputer.in,drcomputer.in,,,,,True,False,False
ASSOC:ITAAP,edgystyle,,https://edgystyle.in,edgystyle.in,,,,,True,False,False
ASSOC:GTECH,elegantVie Consults and Designs,,https://elegantvie.in,elegantvie.in,,,,,True,False,False
ASSOC:ITAAP,fedserv,,https://fedserv.co.in,fedserv.co.in,,,,,True,False,False
