company_name,domain,office_phone,address,city,rating,review_count,place_id,source,discovered_at
CYBERZENIX,cyberzenix.com,076964 80976,"SCO 107-108-109, 2nd Floor, Sector 34A, Sector 34, Chandigarh, 160022, India",Mohali,4.9,139,ChIJ6_kfkb_tDzkRnfmweB-Ztk0,google_maps,2026-08-04T16:16:34
Cybrain Software Solutions,cybrain.co.in,0172 505 3958,"Plot E 48, Phase-8, Industrial Area, Sahibzada Ajit Singh Nagar, Punjab 160059, India",Mohali,4.7,86,ChIJD2B3alnuDzkR5wwncyOG_2A,google_maps,2026-08-04T16:16:34
Dartech Solutions,dartechsolutions.com,099889 96878,"13, Second Floor, Quiet Offices No. 1 - 8, Sector 35A, 35A, Sector 35, Chandigarh, 160022, India",Mohali,5,53,ChIJg50EnhztDzkRAKIjdP7DhYY,google_maps,2026-08-04T16:16:34
DataCouch,datacouch.io,070603 77388,"1012, 10th floor, Imperial Tower, CP67, Airport Road, Sector 67, Sahibzada Ajit Singh Nagar, Punjab 160062, India",Mohali,4.9,93,ChIJo6j7QlLvDzkRnWHCEfoKDN8,google_maps,2026-08-04T16:16:34
Dbug Lab,dbuglab.com,080773 91728,"S.C.F - 23, 3rd Floor, Phase 5, Sector 59, Sahibzada Ajit Singh Nagar, Punjab 160059, India",Mohali,5,27,ChIJLe4hWqzvDzkRM8oMNHSsnds,google_maps,2026-08-04T16:16:34
Decora Soft,decorasoft.com,085912 13003,"Kendriya Vihar Rd Number 1, Sector-125, Sunny Enclave, Kharar, Punjab 140301, India",Mohali,5,43,ChIJfZ-kw4rxDzkRIMbCnuKsFzM,google_maps,2026-08-04T16:16:34
Delta4 Infotech,delta4infotech.com,076963 72504,"F 126, Phase 7, Industrial Area, Sector 73, Sahibzada Ajit Singh Nagar, Punjab 160055, India",Mohali,4.9,46,ChIJ-_LuNorvDzkRmRC-dJA2P18,google_maps,2026-08-04T16:16:34
DesignersX,designersx.us,095926 00646,"575c, 2nd Floor, Sector 82, Industrial Area, JLPL Industrial Area, Sahibzada Ajit Singh Nagar, Punjab 140306, India",Mohali,4.6,94,ChIJd3EFGljpDzkR3IbszpZoTYA,google_maps,2026-08-04T16:16:34
Designing solutions,designingsolutions.co.in,090230 99111,"Fifth floor, Bestech Business Tower, B-505-506 514-515, Parkview Residence Colony, Sector 66, Sahibzada Ajit Singh Nagar, Punjab 160062, India",Mohali,4.3,42,ChIJ____vwHsDzkRQ1AD9srfGQY,google_maps,2026-08-04T16:16:34
Design Nook,designook.in,073411 09977,"CPM 09, 2nd LEVEL, CENTRAL PLAZA, EMAAR MGF - The Views, Emaar MGF Mohali Sector 105, Sahibzada Ajit Singh Nagar, Punjab 140307, India",Mohali,4.5,31,ChIJCRDMWgDpDzkRztE7bbTRwGM,google_maps,2026-08-04T16:16:34
Designsvisions - Graphic Design Training Center,designsvisions.com,06284 445 891,"2nd floor, CITY HEART, SCO-74C, near City Printers, Janta Nagar, Kharar, Punjab 140301, India",Mohali,4.6,77,ChIJnalwjv_uDzkRE2-B4zz5OzA,google_maps,2026-08-04T16:16:34
DevelopTech IT Solutions,develop-tech.com,097801 31208,"#401, 4th floor, Bestech Business Tower, Mohali Bypassm, Sector, - 66, Industrial Area, Industrial Area Mohali Phase 9, Sahibzada Ajit Singh Nagar, Punjab 160062, India",Mohali,3.4,28,ChIJl___CwfsDzkR9F6JlYO28Zc,google_maps,2026-08-04T16:16:34
Developer Gang - Website Development Company Chandigarh,developergang.com,098880 14801,"1544, Aashirwad Complex, Burail, Sector 45C, Sector 45, Chandigarh, 160047, India",Mohali,4.7,16,ChIJP7tWUyrtDzkRehruuEqVtT0,google_maps,2026-08-04T16:16:34
Develop N Designs,developndesigns.com,098884 96895,"SCO-11A, Phase 5, Industrial Area, Sector 59, Sahibzada Ajit Singh Nagar, Punjab 160055, India",Mohali,4.7,15,ChIJq6qqqvPuDzkRitwA3aNEkOE,google_maps,2026-08-04T16:16:34
Devex Hub,devexhub.com,098759 05952,"GR Square, 4th Floor, Plot No. D-254, 8A, Industrial Area, Sector 75, Sahibzada Ajit Singh Nagar, Punjab 160071, India",Mohali,4.7,74,ChIJ0RfUbRLsDzkRBCGZamtS09s,google_maps,2026-08-04T16:16:34
