run_id,actor,status,started_at,finished_at,usage_usd
ksmzdof8oVJF3Fas8,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T09:18:50.906Z,2026-09-01T09:19:03.844Z,0.132
gfAYIKsZiSILoMbzc,apify/google-search-scraper,SUCCEEDED,2026-09-01T09:44:11.755Z,2026-09-01T09:47:34.491Z,0.3935
dfHSpcjfjcko6Rl5o,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-01T09:48:26.165Z,2026-09-01T09:49:53.321Z,0.968
C90gtsQpQngMGRPfq,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-09-02T09:57:02.674Z,2026-09-02T10:00:10.459Z,1.7182
AmkZEW8O9IaVDNqdf,apify/google-search-scraper,SUCCEEDED,2026-09-02T10:01:38.239Z,2026-09-02T10:15:35.230Z,1.4435
gWtuVLAla8HkoQNQe,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-02T10:16:28.201Z,2026-09-02T10:17:13.032Z,0.4
t9buC6ynVFqSJZA2L,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-02T10:17:24.649Z,2026-09-02T10:17:58.146Z,0.4
BIGjhCxfppUdTx8nS,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-02T10:18:10.862Z,2026-09-02T10:18:46.626Z,0.4
d9cyP62jLAiC3gSs2,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-02T10:18:56.948Z,2026-09-02T10:19:38.771Z,0.4
SJTLKbHYlz8USBI2t,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-02T10:19:42.363Z,2026-09-02T10:20:27.428Z,0.4
rIpODC8kMaF3bRv1n,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-02T10:20:40.588Z,2026-09-02T10:21:23.734Z,0.4
dEA8oG6haCEaWYTir,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-02T10:21:27.584Z,2026-09-02T10:22:16.920Z,0.4
grgFelKB0QdrW5qNo,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-02T10:22:24.737Z,2026-09-02T10:23:00.168Z,0.4
gpiEX83Sde3U6PfBw,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-02T10:23:10.625Z,2026-09-02T10:23:37.140Z,0.292
vLbUy7JbzEDJUpHjV,memo23/crunchbase-scraper,SUCCEEDED,2026-09-02T12:46:07.601Z,2026-09-02T12:46:20.129Z,0.01
bwPaMAwLtCrReqhDS,memo23/crunchbase-scraper,SUCCEEDED,2026-09-02T12:46:40.923Z,2026-09-02T12:47:08.366Z,0.01
zBgMMUZwb2LwcpGBo,memo23/crunchbase-scraper,SUCCEEDED,2026-09-02T12:47:15.841Z,2026-09-02T12:47:27.054Z,0.01
kP0Ougq4faFlSl1bq,apify/google-search-scraper,SUCCEEDED,2026-09-02T12:55:37.631Z,2026-09-02T12:56:14.355Z,0.0635
r4wWfQWYV56BsejvO,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-09-02T13:36:02.794Z,2026-09-02T13:49:39.296Z,6.195399999999999
XBp7m2dnVP9x8WWLe,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-09-02T14:07:47.965Z,2026-09-02T14:22:13.807Z,6.51
s2C0ZKhLKpXe5Ihdh,apify/google-search-scraper,SUCCEEDED,2026-09-02T14:23:29.206Z,2026-09-02T15:05:41.036Z,5.651000000000001
Nr6xL628ECeoYwSd4,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-02T15:39:17.941Z,2026-09-02T15:40:08.276Z,0.4
HzyM9udyyMeZecixj,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-02T15:40:12.859Z,2026-09-02T15:41:21.010Z,0.4
WMkJm8bXjOe3sSMC5,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-02T15:41:29.789Z,2026-09-02T15:42:45.430Z,0.4
BTJIVNnbcpkTJYGIu,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-02T15:42:57.877Z,2026-09-02T15:44:03.402Z,0.4
dgJ8kGLLa80KNQZnJ,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-02T15:44:15.112Z,2026-09-02T15:45:21.843Z,0.4
UYaYI4GsqhwkNpdPV,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-02T15:45:31.981Z,2026-09-02T15:46:23.835Z,0.4
HJWB7dqI0h3eceJzO,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-02T15:46:26.938Z,2026-09-02T15:47:25.420Z,0.4
UsWmeLlOYmhfBnTuU,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-02T15:47:33.025Z,2026-09-02T15:48:22.273Z,0.4
0Ipb5l5Ez0lNk9jBa,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-09-02T15:48:27.946Z,2026-09-02T15:49:24.001Z,0.4
